complaint,category
Electric pole damaged in Wakad,Electricity
Rainwater accumulation in Pimpri,Flooding
Loose electric wire in Hinjewadi,Electricity
Frequent power cuts in Wakad,Electricity
Huge garbage pile near Hadapsar,Waste
Large pothole on Camp,Road
Large pothole on Aundh,Road
Road blocked due to traffic in FC Road,Traffic
Loose electric wire in Wakad,Electricity
Water leakage near Aundh,Water
Cracked road at Wakad,Road
Cracked road at FC Road,Road
Area submerged in FC Road,Flooding
Huge garbage pile near Kothrud,Waste
Large pothole on Camp,Road
Pipeline burst in FC Road,Water
Road blocked due to traffic in Hinjewadi,Traffic
Large pothole on Shivajinagar,Road
Streetlight not working in FC Road,Electricity
Streetlight not working in Hadapsar,Electricity
Rainwater accumulation in Kothrud,Flooding
Flood near Hadapsar,Flooding
Heavy traffic near FC Road,Traffic
Water supply issue in Hadapsar,Water
Flood near Pimpri,Flooding
Loose electric wire in Wakad,Electricity
No drinking water in Shivajinagar,Water
Power outage near Hadapsar,Electricity
Vehicle congestion in Baner,Traffic
Area submerged in Pimpri,Flooding
Waterlogging due to blocked drain in Kothrud,Drainage
Traffic signal not working at FC Road,Traffic
Dirty drainage near Shivajinagar,Drainage
Water leakage near Aundh,Water
Traffic signal not working at Wakad,Traffic
Uneven road surface near Wakad,Road
Flood near FC Road,Flooding
Water supply issue in Shivajinagar,Water
Road damaged near Shivajinagar,Road
Frequent power cuts in Baner,Electricity
Area submerged in Kothrud,Flooding
Drainage issue at Shivajinagar,Drainage
Cracked road at Hinjewadi,Road
Waste dumped outside Kothrud,Waste
Flood near Baner,Flooding
Power outage near Kothrud,Electricity
Flood near Wakad,Flooding
Water overflowing near Wakad,Water
Frequent power cuts in Hinjewadi,Electricity
Area submerged in FC Road,Flooding
Pipeline burst in Hinjewadi,Water
Garbage overflowing near Shivajinagar,Waste
Broken road in Hinjewadi,Road
Dustbin overflowing in Aundh,Waste
Garbage not collected in Kothrud,Waste
Pipeline burst in Pimpri,Water
Road blocked due to traffic in Camp,Traffic
Large pothole on Hadapsar,Road
No drinking water in Camp,Water
Uneven road surface near Hadapsar,Road
Garbage overflowing near Hadapsar,Waste
Dustbin overflowing in Baner,Waste
Waterlogging due to blocked drain in FC Road,Drainage
Uneven road surface near Kothrud,Road
Uneven road surface near Kothrud,Road
Flooding reported in Hadapsar,Flooding
Water supply issue in Kothrud,Water
Frequent power cuts in Pimpri,Electricity
Traffic jam near FC Road,Traffic
No drinking water in Pimpri,Water
Area submerged in Baner,Flooding
Loose electric wire in Hinjewadi,Electricity
Waterlogging due to blocked drain in Pimpri,Drainage
Drainage issue at Camp,Drainage
Dirty drainage near Pimpri,Drainage
Water supply issue in Hadapsar,Water
Waterlogging due to blocked drain in Aundh,Drainage
Dirty drainage near Wakad,Drainage
Traffic jam near Baner,Traffic
Traffic signal not working at Hinjewadi,Traffic
Flooding reported in Aundh,Flooding
Dustbin overflowing in Pimpri,Waste
Broken road in Pimpri,Road
Vehicle congestion in Hadapsar,Traffic
Drainage issue at Hadapsar,Drainage
Water overflowing near Wakad,Water
Traffic jam near FC Road,Traffic
Waterlogging after rain in Pimpri,Flooding
Electric pole damaged in Kothrud,Electricity
Frequent power cuts in Hadapsar,Electricity
Power outage near Kothrud,Electricity
Drain blocked near Pimpri,Drainage
Huge garbage pile near Baner,Waste
Streetlight not working in Pimpri,Electricity
Flood near Kothrud,Flooding
Streetlight not working in Baner,Electricity
Road damaged near Hinjewadi,Road
Drain blocked near Wakad,Drainage
Waste dumped outside FC Road,Waste
Vehicle congestion in Hadapsar,Traffic
Frequent power cuts in Camp,Electricity
Flood near Aundh,Flooding
Waterlogging after rain in Aundh,Flooding
Power outage near Hinjewadi,Electricity
Huge garbage pile near Aundh,Waste
Waterlogging after rain in Shivajinagar,Flooding
Water supply issue in Hinjewadi,Water
Broken road in Hadapsar,Road
Drainage issue at Kothrud,Drainage
Water overflowing near Hinjewadi,Water
Water supply issue in Wakad,Water
Power outage near Wakad,Electricity
Uneven road surface near Aundh,Road
Cracked road at Kothrud,Road
Huge garbage pile near Pimpri,Waste
Water supply issue in Wakad,Water
Frequent power cuts in FC Road,Electricity
Area submerged in Baner,Flooding
Garbage overflowing near Camp,Waste
Rainwater accumulation in FC Road,Flooding
Large pothole on Baner,Road
Electric pole damaged in Camp,Electricity
Drainage issue at Camp,Drainage
Uneven road surface near Shivajinagar,Road
Garbage not collected in Hadapsar,Waste
Streetlight not working in Wakad,Electricity
Road damaged near Hadapsar,Road
Water leakage near Baner,Water
Road blocked due to traffic in FC Road,Traffic
Garbage overflowing near Pimpri,Waste
Water supply issue in Hadapsar,Water
Water overflowing near Shivajinagar,Water
Waste dumped outside Aundh,Waste
Cracked road at Pimpri,Road
Streetlight not working in Kothrud,Electricity
Water supply issue in Wakad,Water
Vehicle congestion in Pimpri,Traffic
Dustbin overflowing in Camp,Waste
Drain blocked near Hinjewadi,Drainage
Dustbin overflowing in Aundh,Waste
Traffic jam near Hadapsar,Traffic
Traffic signal not working at Pimpri,Traffic
Pipeline burst in Kothrud,Water
Pipeline burst in FC Road,Water
Water overflowing near Shivajinagar,Water
Pipeline burst in Hadapsar,Water
Area submerged in Baner,Flooding
Huge garbage pile near Hadapsar,Waste
Uneven road surface near Wakad,Road
Heavy traffic near Camp,Traffic
Water overflowing near Pimpri,Water
Traffic jam near Hadapsar,Traffic
Road blocked due to traffic in Pimpri,Traffic
Garbage overflowing near Hinjewadi,Waste
Flooding reported in Hinjewadi,Flooding
Frequent power cuts in Wakad,Electricity
Area submerged in Camp,Flooding
Streetlight not working in Baner,Electricity
Huge garbage pile near Shivajinagar,Waste
Flooding reported in Aundh,Flooding
Dirty drainage near Camp,Drainage
Drain blocked near Shivajinagar,Drainage
Heavy traffic near Wakad,Traffic
Water supply issue in Hinjewadi,Water
Waterlogging after rain in Aundh,Flooding
Water leakage near Pimpri,Water
Flooding reported in Hadapsar,Flooding
Electric pole damaged in Kothrud,Electricity
Garbage not collected in Baner,Waste
Waterlogging after rain in Shivajinagar,Flooding
Flood near Wakad,Flooding
Drainage issue at Baner,Drainage
Garbage overflowing near Wakad,Waste
Sewage overflow in Baner,Drainage
Heavy traffic near Pimpri,Traffic
Road blocked due to traffic in Shivajinagar,Traffic
Dustbin overflowing in FC Road,Waste
Drainage issue at Aundh,Drainage
No drinking water in FC Road,Water
Drain blocked near FC Road,Drainage
Flood near Hadapsar,Flooding
Waste dumped outside Shivajinagar,Waste
Power outage near Wakad,Electricity
Flood near Pimpri,Flooding
Dirty drainage near Hinjewadi,Drainage
Loose electric wire in Shivajinagar,Electricity
Water supply issue in Aundh,Water
Electric pole damaged in Hadapsar,Electricity
Uneven road surface near Hinjewadi,Road
Water leakage near Hinjewadi,Water
Huge garbage pile near Kothrud,Waste
Uneven road surface near Shivajinagar,Road
Water supply issue in Baner,Water
No drinking water in Hinjewadi,Water
Water overflowing near Aundh,Water
Traffic jam near FC Road,Traffic
Dirty drainage near Camp,Drainage
Drainage issue at Camp,Drainage
Area submerged in Kothrud,Flooding
Traffic signal not working at Hinjewadi,Traffic
Drain blocked near Camp,Drainage
Pipeline burst in Aundh,Water
Power outage near Camp,Electricity
Broken road in Aundh,Road
Sewage overflow in Hadapsar,Drainage
Frequent power cuts in Kothrud,Electricity
Drain blocked near Aundh,Drainage
Area submerged in Aundh,Flooding
Water overflowing near Baner,Water
Traffic signal not working at Wakad,Traffic
Pipeline burst in Hinjewadi,Water
Power outage near Baner,Electricity
Traffic signal not working at Hadapsar,Traffic
Traffic jam near Kothrud,Traffic
Flooding reported in Wakad,Flooding
Dustbin overflowing in Shivajinagar,Waste
Water leakage near Camp,Water
Traffic jam near Camp,Traffic
Frequent power cuts in Wakad,Electricity
Water overflowing near Kothrud,Water
Dustbin overflowing in Camp,Waste
Pipeline burst in Baner,Water
Frequent power cuts in Hinjewadi,Electricity
Uneven road surface near Camp,Road
Pipeline burst in Kothrud,Water
Drainage issue at Kothrud,Drainage
Traffic signal not working at Pimpri,Traffic
Dirty drainage near Aundh,Drainage
Pipeline burst in Pimpri,Water
Streetlight not working in Hinjewadi,Electricity
Road blocked due to traffic in Camp,Traffic
Drainage issue at Wakad,Drainage
Garbage overflowing near Hinjewadi,Waste
Garbage overflowing near Kothrud,Waste
Heavy traffic near Hadapsar,Traffic
Huge garbage pile near Camp,Waste
Rainwater accumulation in Hadapsar,Flooding
Garbage not collected in Wakad,Waste
Drain blocked near Kothrud,Drainage
Garbage overflowing near FC Road,Waste
Cracked road at Hadapsar,Road
Water supply issue in Aundh,Water
Dirty drainage near Wakad,Drainage
Pipeline burst in Baner,Water
Vehicle congestion in Hinjewadi,Traffic
Garbage overflowing near Wakad,Waste
Rainwater accumulation in Hinjewadi,Flooding
Road blocked due to traffic in Hinjewadi,Traffic
Waterlogging after rain in Aundh,Flooding
Large pothole on Wakad,Road
Streetlight not working in FC Road,Electricity
Large pothole on Hinjewadi,Road
Large pothole on Kothrud,Road
Dustbin overflowing in Baner,Waste
Waterlogging due to blocked drain in Wakad,Drainage
Garbage not collected in Camp,Waste
Waterlogging due to blocked drain in Kothrud,Drainage
Pipeline burst in FC Road,Water
Waste dumped outside Hinjewadi,Waste
Waterlogging after rain in Camp,Flooding
Sewage overflow in Baner,Drainage
Electric pole damaged in Shivajinagar,Electricity
Drainage issue at Pimpri,Drainage
Waterlogging after rain in Aundh,Flooding
Waste dumped outside Shivajinagar,Waste
Traffic signal not working at Hadapsar,Traffic
No drinking water in Baner,Water
Waste dumped outside Shivajinagar,Waste
Heavy traffic near Pimpri,Traffic
Flood near Kothrud,Flooding
Water leakage near Shivajinagar,Water
Water leakage near Baner,Water
Traffic signal not working at Pimpri,Traffic
No drinking water in Pimpri,Water
Waterlogging due to blocked drain in Hadapsar,Drainage
Cracked road at FC Road,Road
Frequent power cuts in Hinjewadi,Electricity
Road damaged near Hadapsar,Road
Waste dumped outside Hinjewadi,Waste
Power outage near Kothrud,Electricity
Waste dumped outside Shivajinagar,Waste
Water overflowing near Baner,Water
Waterlogging after rain in Baner,Flooding
Heavy traffic near Wakad,Traffic
Rainwater accumulation in FC Road,Flooding
Pipeline burst in Camp,Water
Sewage overflow in Baner,Drainage
Road damaged near Camp,Road
Dustbin overflowing in Hadapsar,Waste
Road damaged near Camp,Road
Water leakage near Shivajinagar,Water
Heavy traffic near Baner,Traffic
Road damaged near Wakad,Road
Heavy traffic near Camp,Traffic
Dirty drainage near FC Road,Drainage
Road blocked due to traffic in Wakad,Traffic
Rainwater accumulation in FC Road,Flooding
Streetlight not working in Hinjewadi,Electricity
Electric pole damaged in Pimpri,Electricity
Broken road in Camp,Road
Loose electric wire in FC Road,Electricity
Garbage not collected in Aundh,Waste
Large pothole on Wakad,Road
Sewage overflow in Pimpri,Drainage
Flooding reported in Shivajinagar,Flooding
Road blocked due to traffic in Baner,Traffic
Rainwater accumulation in FC Road,Flooding
Drainage issue at Camp,Drainage
Water overflowing near Shivajinagar,Water
Flooding reported in Pimpri,Flooding
Water supply issue in Hadapsar,Water
Power outage near Pimpri,Electricity
Garbage overflowing near Baner,Waste
Broken road in Camp,Road
Waterlogging after rain in Wakad,Flooding
Garbage overflowing near Aundh,Waste
Flood near Kothrud,Flooding
Pipeline burst in Pimpri,Water
Broken road in Kothrud,Road
Drainage issue at Shivajinagar,Drainage
Dirty drainage near Hadapsar,Drainage
Broken road in Wakad,Road
Traffic signal not working at Wakad,Traffic
Uneven road surface near Kothrud,Road
Frequent power cuts in Pimpri,Electricity
Waterlogging due to blocked drain in FC Road,Drainage
Huge garbage pile near Kothrud,Waste
Broken road in Hinjewadi,Road
Garbage not collected in Wakad,Waste
Road blocked due to traffic in Shivajinagar,Traffic
Sewage overflow in Pimpri,Drainage
Area submerged in Kothrud,Flooding
Waste dumped outside Shivajinagar,Waste
Flooding reported in Pimpri,Flooding
Traffic signal not working at Hinjewadi,Traffic
Waste dumped outside Camp,Waste
Loose electric wire in Hadapsar,Electricity
Heavy traffic near Hadapsar,Traffic
Waterlogging after rain in Hinjewadi,Flooding
Water leakage near Camp,Water
Road damaged near Pimpri,Road
Streetlight not working in Kothrud,Electricity
Road blocked due to traffic in Camp,Traffic
Drain blocked near Kothrud,Drainage
Huge garbage pile near Hadapsar,Waste
Heavy traffic near Aundh,Traffic
Heavy traffic near FC Road,Traffic
Road blocked due to traffic in Wakad,Traffic
Area submerged in Shivajinagar,Flooding
Power outage near Shivajinagar,Electricity
Drain blocked near Hinjewadi,Drainage
Flooding reported in Aundh,Flooding
Water leakage near Pimpri,Water
Vehicle congestion in Hinjewadi,Traffic
Frequent power cuts in Aundh,Electricity
Area submerged in Pimpri,Flooding
Rainwater accumulation in Pimpri,Flooding
Cracked road at Shivajinagar,Road
Road blocked due to traffic in Pimpri,Traffic
Area submerged in Kothrud,Flooding
Garbage overflowing near Wakad,Waste
Drain blocked near Baner,Drainage
Huge garbage pile near FC Road,Waste
Traffic jam near Wakad,Traffic
Flood near Camp,Flooding
Dirty drainage near Camp,Drainage
Drainage issue at Kothrud,Drainage
No drinking water in Hadapsar,Water
Vehicle congestion in Baner,Traffic
Loose electric wire in Hinjewadi,Electricity
Rainwater accumulation in Pimpri,Flooding
Water overflowing near Kothrud,Water
Road damaged near Kothrud,Road
Waterlogging after rain in Hadapsar,Flooding
Garbage not collected in Baner,Waste
Traffic jam near Kothrud,Traffic
Loose electric wire in FC Road,Electricity
Garbage overflowing near Camp,Waste
Waterlogging due to blocked drain in Hadapsar,Drainage
Waterlogging due to blocked drain in Shivajinagar,Drainage
Road blocked due to traffic in Aundh,Traffic
Huge garbage pile near Aundh,Waste
Water supply issue in Wakad,Water
Dustbin overflowing in Hadapsar,Waste
Sewage overflow in FC Road,Drainage
Drain blocked near Camp,Drainage
Garbage not collected in Aundh,Waste
Traffic signal not working at Kothrud,Traffic
Large pothole on Aundh,Road
Water overflowing near Wakad,Water
Flooding reported in Camp,Flooding
Huge garbage pile near Pimpri,Waste
Pipeline burst in Hadapsar,Water
Dirty drainage near Pimpri,Drainage
Rainwater accumulation in Wakad,Flooding
Huge garbage pile near Shivajinagar,Waste
Waterlogging due to blocked drain in Wakad,Drainage
Drain blocked near Wakad,Drainage
Loose electric wire in Aundh,Electricity
Garbage overflowing near Hinjewadi,Waste
Uneven road surface near Camp,Road
Heavy traffic near Baner,Traffic
Huge garbage pile near Camp,Waste
Broken road in Hadapsar,Road
Huge garbage pile near Kothrud,Waste
Dustbin overflowing in Camp,Waste
Cracked road at Baner,Road
Huge garbage pile near Kothrud,Waste
Broken road in Camp,Road
Flooding reported in Pimpri,Flooding
Waterlogging after rain in FC Road,Flooding
Waterlogging after rain in Baner,Flooding
Loose electric wire in Camp,Electricity
Garbage overflowing near FC Road,Waste
Traffic signal not working at Camp,Traffic
Electric pole damaged in Shivajinagar,Electricity
Traffic jam near FC Road,Traffic
Streetlight not working in FC Road,Electricity
Traffic jam near Kothrud,Traffic
Flooding reported in Aundh,Flooding
Large pothole on FC Road,Road
Pipeline burst in Pimpri,Water
Garbage overflowing near Shivajinagar,Waste
Electric pole damaged in Hadapsar,Electricity
Cracked road at FC Road,Road
No drinking water in Baner,Water
Broken road in Kothrud,Road
Drain blocked near Shivajinagar,Drainage
Road blocked due to traffic in Baner,Traffic
Garbage overflowing near Baner,Waste
Large pothole on Hinjewadi,Road
Dirty drainage near Wakad,Drainage
Huge garbage pile near Kothrud,Waste
Dustbin overflowing in Hinjewadi,Waste
Sewage overflow in Wakad,Drainage
Broken road in Hadapsar,Road
Streetlight not working in Shivajinagar,Electricity
Garbage overflowing near Baner,Waste
Frequent power cuts in Aundh,Electricity
Water leakage near Baner,Water
Road damaged near Shivajinagar,Road
Dustbin overflowing in Aundh,Waste
Pipeline burst in Baner,Water
Cracked road at Aundh,Road
Waste dumped outside Hadapsar,Waste
Water leakage near FC Road,Water
Vehicle congestion in Pimpri,Traffic
Water leakage near FC Road,Water
Water supply issue in Camp,Water
Rainwater accumulation in Wakad,Flooding
Traffic jam near Baner,Traffic
Garbage not collected in Hadapsar,Waste
Area submerged in Pimpri,Flooding
Rainwater accumulation in Hadapsar,Flooding
Water overflowing near Hadapsar,Water
Power outage near Shivajinagar,Electricity
Area submerged in Shivajinagar,Flooding
Area submerged in Hadapsar,Flooding
Streetlight not working in Aundh,Electricity
Drainage issue at Aundh,Drainage
Flooding reported in Aundh,Flooding
Waste dumped outside Kothrud,Waste
Uneven road surface near Pimpri,Road
Flood near Wakad,Flooding
Heavy traffic near Kothrud,Traffic
Rainwater accumulation in Wakad,Flooding
Sewage overflow in Hadapsar,Drainage
Waterlogging due to blocked drain in Hadapsar,Drainage
Road blocked due to traffic in Baner,Traffic
Garbage overflowing near Baner,Waste
Drainage issue at Baner,Drainage
Streetlight not working in Wakad,Electricity
Dirty drainage near Kothrud,Drainage
Loose electric wire in Camp,Electricity
Power outage near FC Road,Electricity
Uneven road surface near Baner,Road
Electric pole damaged in Hinjewadi,Electricity
Large pothole on Pimpri,Road
Broken road in Kothrud,Road
Electric pole damaged in Kothrud,Electricity
Uneven road surface near Hinjewadi,Road
Waterlogging after rain in Hinjewadi,Flooding
Frequent power cuts in Shivajinagar,Electricity
Flooding reported in Aundh,Flooding
Waterlogging after rain in Camp,Flooding
Broken road in Hinjewadi,Road
Garbage overflowing near FC Road,Waste
Frequent power cuts in Shivajinagar,Electricity
Waterlogging after rain in Wakad,Flooding
Garbage overflowing near Aundh,Waste
Garbage not collected in Kothrud,Waste
No drinking water in Baner,Water
Garbage not collected in Pimpri,Waste
Garbage overflowing near Wakad,Waste
Area submerged in Aundh,Flooding
Large pothole on Kothrud,Road
Garbage not collected in Hadapsar,Waste
Electric pole damaged in Baner,Electricity
Traffic jam near Hinjewadi,Traffic
Waterlogging due to blocked drain in Kothrud,Drainage
Road blocked due to traffic in Aundh,Traffic
Traffic jam near Shivajinagar,Traffic
Road damaged near Aundh,Road
Waterlogging due to blocked drain in Shivajinagar,Drainage
Flooding reported in Hadapsar,Flooding
Traffic signal not working at FC Road,Traffic
Traffic jam near Hadapsar,Traffic
Drainage issue at Aundh,Drainage
Water overflowing near Aundh,Water
Waterlogging due to blocked drain in Baner,Drainage
Pipeline burst in Kothrud,Water
Pipeline burst in Shivajinagar,Water
Water supply issue in Hadapsar,Water
Power outage near Shivajinagar,Electricity
Traffic signal not working at Hinjewadi,Traffic
Huge garbage pile near Baner,Waste
Dustbin overflowing in Camp,Waste
Cracked road at FC Road,Road
Large pothole on Kothrud,Road
Uneven road surface near Shivajinagar,Road
Garbage not collected in Aundh,Waste
Broken road in Camp,Road
Dustbin overflowing in FC Road,Waste
Flooding reported in FC Road,Flooding
Streetlight not working in Hadapsar,Electricity
Waterlogging after rain in Hinjewadi,Flooding
Cracked road at Hinjewadi,Road
Traffic signal not working at Camp,Traffic
Power outage near Hadapsar,Electricity
No drinking water in Wakad,Water
Dustbin overflowing in Pimpri,Waste
Waste dumped outside Kothrud,Waste
Waste dumped outside Hinjewadi,Waste
No drinking water in Aundh,Water
No drinking water in Wakad,Water
Waterlogging due to blocked drain in FC Road,Drainage
Drain blocked near Shivajinagar,Drainage
No drinking water in Wakad,Water
Drainage issue at Aundh,Drainage
Uneven road surface near Kothrud,Road
Electric pole damaged in Hadapsar,Electricity
Area submerged in Hadapsar,Flooding
Uneven road surface near Baner,Road
Frequent power cuts in Aundh,Electricity
Flood near Shivajinagar,Flooding
Garbage not collected in Pimpri,Waste
Flooding reported in Shivajinagar,Flooding
Large pothole on Kothrud,Road
Waste dumped outside Shivajinagar,Waste
Uneven road surface near Hinjewadi,Road
Sewage overflow in Hadapsar,Drainage
Huge garbage pile near Shivajinagar,Waste
Sewage overflow in Aundh,Drainage
Waste dumped outside Hadapsar,Waste
Water supply issue in Shivajinagar,Water
Drainage issue at Shivajinagar,Drainage
Sewage overflow in Kothrud,Drainage
Uneven road surface near Hadapsar,Road
Flooding reported in Aundh,Flooding
Huge garbage pile near FC Road,Waste
Waste dumped outside Camp,Waste
Electric pole damaged in Camp,Electricity
Heavy traffic near Aundh,Traffic
Garbage not collected in Baner,Waste
Drain blocked near Pimpri,Drainage
Road blocked due to traffic in Hadapsar,Traffic
Huge garbage pile near Pimpri,Waste
Large pothole on Baner,Road
Road damaged near Baner,Road
Cracked road at Camp,Road
Water overflowing near Baner,Water
Traffic jam near Aundh,Traffic
Garbage overflowing near Hadapsar,Waste
Huge garbage pile near Pimpri,Waste
Streetlight not working in Kothrud,Electricity
Heavy traffic near Wakad,Traffic
Road damaged near Shivajinagar,Road
Power outage near Baner,Electricity
Electric pole damaged in Kothrud,Electricity
Area submerged in Pimpri,Flooding
Uneven road surface near Hinjewadi,Road
Heavy traffic near Camp,Traffic
Uneven road surface near Aundh,Road
Traffic signal not working at Kothrud,Traffic
Flood near Camp,Flooding
Drain blocked near Aundh,Drainage
Road damaged near Camp,Road
Huge garbage pile near Kothrud,Waste
Huge garbage pile near FC Road,Waste
Flooding reported in Aundh,Flooding
Waterlogging due to blocked drain in Aundh,Drainage
Huge garbage pile near Camp,Waste
Cracked road at Wakad,Road
Cracked road at FC Road,Road
Road damaged near Wakad,Road
Huge garbage pile near Baner,Waste
Power outage near Wakad,Electricity
Traffic signal not working at Aundh,Traffic
Vehicle congestion in Pimpri,Traffic
Flooding reported in Hinjewadi,Flooding
Heavy traffic near Hadapsar,Traffic
Area submerged in FC Road,Flooding
Road damaged near Hinjewadi,Road
Frequent power cuts in Hinjewadi,Electricity
Uneven road surface near Camp,Road
Road blocked due to traffic in Wakad,Traffic
Rainwater accumulation in Camp,Flooding
Vehicle congestion in Pimpri,Traffic
Waterlogging due to blocked drain in Shivajinagar,Drainage
Pipeline burst in Baner,Water
Garbage not collected in Baner,Waste
Heavy traffic near FC Road,Traffic
Frequent power cuts in Camp,Electricity
Drainage issue at Shivajinagar,Drainage
Sewage overflow in Baner,Drainage
Vehicle congestion in Kothrud,Traffic
Large pothole on Pimpri,Road
Broken road in Camp,Road
Uneven road surface near Camp,Road
Waste dumped outside Hadapsar,Waste
Traffic signal not working at Hinjewadi,Traffic
Road blocked due to traffic in Kothrud,Traffic
Waterlogging due to blocked drain in Kothrud,Drainage
Area submerged in Hinjewadi,Flooding
Broken road in Aundh,Road
Frequent power cuts in Kothrud,Electricity
Garbage not collected in Camp,Waste
Water supply issue in Kothrud,Water
Flood near Hinjewadi,Flooding
Loose electric wire in Pimpri,Electricity
Huge garbage pile near Baner,Waste
Garbage overflowing near Wakad,Waste
Drain blocked near Pimpri,Drainage
Traffic jam near Shivajinagar,Traffic
Flooding reported in Hinjewadi,Flooding
Rainwater accumulation in Wakad,Flooding
Waterlogging after rain in FC Road,Flooding
Dustbin overflowing in Camp,Waste
Waterlogging due to blocked drain in Shivajinagar,Drainage
Dirty drainage near Hadapsar,Drainage
Road damaged near Hadapsar,Road
Huge garbage pile near Shivajinagar,Waste
Drainage issue at Hadapsar,Drainage
Waste dumped outside Pimpri,Waste
Power outage near Wakad,Electricity
Water leakage near Kothrud,Water
Road blocked due to traffic in Camp,Traffic
Road blocked due to traffic in Baner,Traffic
Loose electric wire in Shivajinagar,Electricity
Sewage overflow in Hadapsar,Drainage
Cracked road at Hadapsar,Road
Huge garbage pile near Camp,Waste
Pipeline burst in Shivajinagar,Water
Large pothole on Hadapsar,Road
Traffic signal not working at Kothrud,Traffic
Electric pole damaged in Kothrud,Electricity
Water supply issue in Hinjewadi,Water
Pipeline burst in Baner,Water
Huge garbage pile near Hadapsar,Waste
Cracked road at Hadapsar,Road
Dustbin overflowing in Pimpri,Waste
No drinking water in Baner,Water
Streetlight not working in Hinjewadi,Electricity
No drinking water in Aundh,Water
Broken road in Shivajinagar,Road
Power outage near Hadapsar,Electricity
Waterlogging after rain in Kothrud,Flooding
Streetlight not working in Hinjewadi,Electricity
Power outage near FC Road,Electricity
Traffic signal not working at Hadapsar,Traffic
Power outage near Aundh,Electricity
Area submerged in FC Road,Flooding
Power outage near Pimpri,Electricity
Waterlogging due to blocked drain in Wakad,Drainage
Loose electric wire in Aundh,Electricity
Rainwater accumulation in Pimpri,Flooding
Huge garbage pile near FC Road,Waste
Water overflowing near Pimpri,Water
Pipeline burst in Hadapsar,Water
Waterlogging due to blocked drain in Aundh,Drainage
Vehicle congestion in Hinjewadi,Traffic
Flooding reported in Baner,Flooding
Traffic jam near FC Road,Traffic
Dustbin overflowing in Camp,Waste
Water supply issue in Camp,Water
Water leakage near Pimpri,Water
No drinking water in Baner,Water
Water leakage near FC Road,Water
Electric pole damaged in Pimpri,Electricity
Loose electric wire in Pimpri,Electricity
Cracked road at Shivajinagar,Road
Waterlogging after rain in Camp,Flooding
Drainage issue at Hadapsar,Drainage
Drainage issue at Kothrud,Drainage
Streetlight not working in Baner,Electricity
Pipeline burst in Aundh,Water
No drinking water in Pimpri,Water
Area submerged in Hinjewadi,Flooding
Dirty drainage near Kothrud,Drainage
Flood near FC Road,Flooding
Road blocked due to traffic in Hinjewadi,Traffic
Vehicle congestion in Pimpri,Traffic
Uneven road surface near Kothrud,Road
Garbage not collected in Baner,Waste
Waste dumped outside Aundh,Waste
Area submerged in Baner,Flooding
Large pothole on Shivajinagar,Road
Garbage overflowing near Kothrud,Waste
Area submerged in Wakad,Flooding
Frequent power cuts in FC Road,Electricity
Flood near Baner,Flooding
Drainage issue at Shivajinagar,Drainage
Water supply issue in FC Road,Water
Power outage near Hinjewadi,Electricity
Garbage not collected in Shivajinagar,Waste
Broken road in Pimpri,Road
Drainage issue at Camp,Drainage
Large pothole on Hadapsar,Road
Vehicle congestion in Hinjewadi,Traffic
Drain blocked near Pimpri,Drainage
Power outage near Camp,Electricity
Power outage near Camp,Electricity
Area submerged in Pimpri,Flooding
Heavy traffic near Hadapsar,Traffic
Frequent power cuts in Aundh,Electricity
Streetlight not working in Shivajinagar,Electricity
Frequent power cuts in Camp,Electricity
Vehicle congestion in Hinjewadi,Traffic
Traffic signal not working at Camp,Traffic
Drain blocked near Kothrud,Drainage
No drinking water in Shivajinagar,Water
Electric pole damaged in Camp,Electricity
No drinking water in Hinjewadi,Water
Large pothole on FC Road,Road
Garbage not collected in Camp,Waste
Cracked road at Kothrud,Road
Flooding reported in Hadapsar,Flooding
Water leakage near Aundh,Water
Waterlogging after rain in Aundh,Flooding
Loose electric wire in Wakad,Electricity
Water supply issue in Hinjewadi,Water
Heavy traffic near Aundh,Traffic
Water supply issue in Pimpri,Water
No drinking water in FC Road,Water
Frequent power cuts in Hadapsar,Electricity
Rainwater accumulation in Hadapsar,Flooding
Water overflowing near Aundh,Water
Garbage overflowing near Hadapsar,Waste
Flooding reported in Aundh,Flooding
No drinking water in Wakad,Water
Road damaged near Aundh,Road
Waterlogging after rain in Pimpri,Flooding
Dustbin overflowing in Aundh,Waste
Dustbin overflowing in Wakad,Waste
Huge garbage pile near Wakad,Waste
Vehicle congestion in Hinjewadi,Traffic
Traffic jam near Wakad,Traffic
Area submerged in Camp,Flooding
Garbage overflowing near FC Road,Waste
Loose electric wire in Hadapsar,Electricity
Rainwater accumulation in Aundh,Flooding
Dirty drainage near Pimpri,Drainage
Large pothole on Kothrud,Road
Vehicle congestion in FC Road,Traffic
Electric pole damaged in Pimpri,Electricity
Sewage overflow in Wakad,Drainage
Water leakage near Baner,Water
Rainwater accumulation in Wakad,Flooding
Frequent power cuts in Kothrud,Electricity
Waste dumped outside Baner,Waste
Traffic signal not working at Hadapsar,Traffic
Traffic signal not working at Camp,Traffic
Traffic signal not working at Aundh,Traffic
Water leakage near Shivajinagar,Water
Power outage near FC Road,Electricity
Water supply issue in Baner,Water
Heavy traffic near Wakad,Traffic
Dirty drainage near Hadapsar,Drainage
Road damaged near Hinjewadi,Road
Road damaged near Camp,Road
Cracked road at FC Road,Road
